,genome name,species
288,ESC_KA3975AA_AS.fasta,Escherichia coli
289,ESC_HA8464AA_AS.fasta,Escherichia coli
290,ESC_HA3294AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
291,ESC_GA4801AA_AS.fasta,Escherichia coli O145:H28 str. RM13514
292,ESC_HA8727AA_AS.fasta,Escherichia coli
293,ESC_LA5458AA_AS.fasta,Escherichia coli 93-001
294,ESC_NA9449AA_AS.fasta,Escherichia coli O157:H7
295,ESC_HA1802AA_AS.fasta,Escherichia coli
296,ESC_GA9163AA_AS.fasta,Escherichia coli C732_98
297,ESC_KA7442AA_AS.fasta,Escherichia coli M919
298,ESC_CA5635AA_AS.fasta,Escherichia coli
299,ESC_BA0343AA_AS.fasta,Escherichia coli TW07945
300,ESC_LA1540AA_AS.fasta,Escherichia coli
301,ESC_GA1483AA_AS.fasta,Escherichia coli
302,ESC_LA7800AA_AS.fasta,Escherichia coli PA9
303,ESC_IA1268AA_AS.fasta,Escherichia coli
304,ESC_HA8251AA_AS.fasta,Escherichia coli
305,ESC_FA9651AA_AS.fasta,Escherichia coli
306,ESC_AA8228AA_AS.fasta,Escherichia coli O103:H25 str. CVM9340
307,ESC_FA6878AA_AS.fasta,Escherichia coli C652_10
308,ESC_HA7996AA_AS.fasta,Escherichia coli TW11681
309,ESC_GA5550AA_AS.fasta,Escherichia coli O145:H28 str. RM13514
310,ESC_KA5474AA_AS.fasta,Escherichia coli O157:H7
311,ESC_GA9221AA_AS.fasta,Escherichia coli
312,ESC_KA1968AA_AS.fasta,Escherichia coli B95
313,ESC_GA9164AA_AS.fasta,Escherichia coli
314,ESC_HA8373AA_AS.fasta,Escherichia coli
315,ESC_HA8165AA_AS.fasta,Escherichia coli C213_10
316,ESC_BA5216AA_AS.fasta,Escherichia coli O157
317,ESC_HA9973AA_AS.fasta,Escherichia coli KTE78
318,ESC_GA8940AA_AS.fasta,Escherichia coli
319,ESC_HA6262AA_AS.fasta,Escherichia coli PA33
320,ESC_IA8104AA_AS.fasta,Escherichia coli
321,ESC_LA4795AA_AS.fasta,Escherichia coli O157:H7 str. Sakai
322,ESC_GA9004AA_AS.fasta,Escherichia coli
323,ESC_FA4848AA_AS.fasta,Escherichia coli 90.0091
324,ESC_HA0140AA_AS.fasta,Escherichia coli
325,ESC_CA6019AA_AS.fasta,Escherichia coli TW10119
326,ESC_HA6112AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
327,ESC_HA7451AA_AS.fasta,Escherichia coli O157:H7 str. F6751
328,ESC_HA3283AA_AS.fasta,Escherichia coli
329,ESC_IA1677AA_AS.fasta,Escherichia coli
330,ESC_HA8069AA_AS.fasta,Escherichia coli
331,ESC_BA3792AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
332,ESC_LA5724AA_AS.fasta,Escherichia coli
333,ESC_HA1751AA_AS.fasta,Escherichia coli
334,ESC_HA8685AA_AS.fasta,Escherichia coli
335,ESC_GA9451AA_AS.fasta,Escherichia coli KTE61
336,ESC_CA4491AA_AS.fasta,Escherichia coli EC1737
337,ESC_GA9129AA_AS.fasta,Escherichia coli
338,ESC_HA9085AA_AS.fasta,Escherichia coli
339,ESC_BA4009AA_AS.fasta,Escherichia coli
340,ESC_IA0819AA_AS.fasta,Escherichia coli O103:H2 str. 2009C-3279
341,ESC_LA5725AA_AS.fasta,"[263 seqs] NC_002142.1 Escherichia coli B171 plasmid pB171 DNA, complete sequence [...]"
342,ESC_HA7459AA_AS.fasta,Escherichia coli O157:H7 str. F6751
343,ESC_GA2899AA_AS.fasta,Escherichia coli O157:H7 str. F8092B
344,ESC_IA8237AA_AS.fasta,Escherichia coli O157:H7 str. 2009C-4258
345,ESC_HA7474AA_AS.fasta,Escherichia coli
346,ESC_BA0235AA_AS.fasta,Escherichia coli 3.4870
347,ESC_HA8260AA_AS.fasta,Escherichia coli
348,ESC_HA1809AA_AS.fasta,Escherichia coli 7-233-03_S4_C1
349,ESC_HA5830AA_AS.fasta,Escherichia coli
350,ESC_HA4906AA_AS.fasta,Escherichia coli O157:H7
351,ESC_CA1641AA_AS.fasta,Escherichia coli
352,ESC_HA4968AA_AS.fasta,Escherichia coli
353,ESC_NA8393AA_AS.fasta,Escherichia coli
354,ESC_GA3738AA_AS.fasta,Escherichia coli
355,ESC_GA9203AA_AS.fasta,Escherichia coli
356,ESC_HA8549AA_AS.fasta,Escherichia coli
357,ESC_GA9382AA_AS.fasta,Escherichia coli 6-537-08_S1_C2
358,ESC_GA0458AA_AS.fasta,Escherichia coli O26:H11 str. 11368
359,ESC_HA0345AA_AS.fasta,Escherichia coli O121:H19 str. 2011C-3609
360,ESC_HA8339AA_AS.fasta,Escherichia coli DEC7C
361,ESC_IA8274AA_AS.fasta,Escherichia coli
362,ESC_BA0690AA_AS.fasta,Escherichia coli EC1847
363,ESC_GA9268AA_AS.fasta,Escherichia coli
364,ESC_IA0141AA_AS.fasta,Escherichia coli
365,ESC_PA1918AA_AS.fasta,Escherichia coli
366,ESC_IA0008AA_AS.fasta,Escherichia coli
367,ESC_FA5573AA_AS.fasta,Escherichia coli
368,ESC_NA9486AA_AS.fasta,Escherichia coli
369,ESC_GA8490AA_AS.fasta,Escherichia coli
370,ESC_LA5487AA_AS.fasta,Escherichia coli 3.4870
371,ESC_GA3680AA_AS.fasta,Escherichia coli
372,ESC_GA3696AA_AS.fasta,Escherichia coli
373,ESC_CA5494AA_AS.fasta,Escherichia coli
374,ESC_IA1641AA_AS.fasta,Escherichia coli
375,ESC_FA6812AA_AS.fasta,Escherichia coli
376,ESC_NA3259AA_AS.fasta,Escherichia coli O26:H11 str. 2010C-4430
377,ESC_HA8416AA_AS.fasta,Escherichia coli IAI1
378,ESC_HA2679AA_AS.fasta,Escherichia coli
379,ESC_HA3958AA_AS.fasta,Escherichia coli
380,ESC_IA1254AA_AS.fasta,Escherichia coli C354_03B
381,ESC_IA1486AA_AS.fasta,Escherichia coli
382,ESC_LA5483AA_AS.fasta,Escherichia coli O157:H7 str. EC869
383,ESC_GA8823AA_AS.fasta,Escherichia coli
384,ESC_NA8744AA_AS.fasta,Escherichia coli 10.0869
385,ESC_GA9171AA_AS.fasta,Shigella boydii
386,ESC_HA8277AA_AS.fasta,Escherichia coli
387,ESC_BA9829AA_AS.fasta,Escherichia coli
388,ESC_HA8555AA_AS.fasta,Shigella boydii
389,ESC_GA8790AA_AS.fasta,Escherichia coli HVH 92 (4-5930790)
390,ESC_PA0734AA_AS.fasta,Escherichia coli O157:H7 str. TW14588
391,ESC_GA0427AA_AS.fasta,Escherichia coli
392,ESC_HA8498AA_AS.fasta,Escherichia coli
393,ESC_IA2280AA_AS.fasta,Escherichia coli KTE220
394,ESC_GA9159AA_AS.fasta,Escherichia coli
395,ESC_BA6946AA_AS.fasta,Escherichia coli
396,ESC_HA6103AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
397,ESC_BA4097AA_AS.fasta,Escherichia coli
398,ESC_GA9275AA_AS.fasta,Escherichia coli
399,ESC_GA9211AA_AS.fasta,Escherichia coli C353_09
400,ESC_AA9530AA_AS.fasta,Escherichia coli
401,ESC_HA8261AA_AS.fasta,Escherichia coli
402,ESC_HA8168AA_AS.fasta,Escherichia coli C260_92
403,ESC_HA7797AA_AS.fasta,Escherichia coli
404,ESC_HA8686AA_AS.fasta,Escherichia coli
405,ESC_LA1500AA_AS.fasta,Escherichia coli
406,ESC_AA8026AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
407,ESC_BA4910AA_AS.fasta,Escherichia coli
408,ESC_HA7400AA_AS.fasta,Escherichia coli O157:H7 str. F7377
409,ESC_FA6842AA_AS.fasta,Escherichia coli
410,ESC_BA0073AA_AS.fasta,Escherichia coli
411,ESC_KA5966AA_AS.fasta,Escherichia coli
412,ESC_GA9264AA_AS.fasta,Escherichia coli
413,ESC_MA8340AA_AS.fasta,Escherichia coli NE1487
414,ESC_CA4156AA_AS.fasta,Escherichia coli
415,ESC_CA5091AA_AS.fasta,Escherichia coli
416,ESC_GA2898AA_AS.fasta,Escherichia coli 3.4880
417,ESC_HA8248AA_AS.fasta,Escherichia coli HVH 228 (4-7787030)
418,ESC_GA9320AA_AS.fasta,Escherichia coli
419,ESC_HA7987AA_AS.fasta,Escherichia coli
420,ESC_IA0164AA_AS.fasta,Escherichia coli IAI1
421,ESC_LA1938AA_AS.fasta,Escherichia coli
422,ESC_GA6703AA_AS.fasta,Escherichia coli
423,ESC_BA5825AA_AS.fasta,Escherichia coli
424,ESC_HA5829AA_AS.fasta,Escherichia coli O157:H7
425,ESC_HA9089AA_AS.fasta,Escherichia coli
426,ESC_GA6705AA_AS.fasta,Escherichia coli
427,ESC_HA8501AA_AS.fasta,Escherichia coli 2-177-06_S4_C1
428,ESC_GA8856AA_AS.fasta,Escherichia coli
429,ESC_HA8630AA_AS.fasta,Escherichia coli KTE77
430,ESC_GA8922AA_AS.fasta,Escherichia coli STEC O174:H2 str. 02-04446
